Category,CommunityName,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
Assault (Non-domestic),SAGE HILL,1,,,,1,,,,1,1,,4
Assault (Non-domestic),SANDSTONE VALLEY,,,,,,,,2,,,,
Assault (Non-domestic),SCARBORO,,,,,,,,1,,,,
Assault (Non-domestic),SCENIC ACRES,,,,,,,,,,,1,
Assault (Non-domestic),SECTION 23,,,,,,,,,,,2,
Assault (Non-domestic),SETON,2,4,5,6,6,3,6,4,3,3,5,3
Assault (Non-domestic),SHAGANAPPI,,2,2,2,1,1,,,,1,,1
Assault (Non-domestic),SHAWNEE SLOPES,,,,,,,,,,,,
Assault (Non-domestic),SHAWNESSY,4,2,6,4,5,,6,4,3,2,3,2
Assault (Non-domestic),SHEPARD INDUSTRIAL,,,,1,,1,,,2,2,1,3
Assault (Non-domestic),SHERWOOD,,1,,1,,,,,,1,,
Assault (Non-domestic),SIGNAL HILL,1,2,4,3,2,1,2,2,,2,,1
Assault (Non-domestic),SILVER SPRINGS,,1,2,,,2,2,,,,,
Assault (Non-domestic),SILVERADO,,,,,,,,,1,,,1
Assault (Non-domestic),SKYLINE EAST,,,,,,,1,,,,,
Assault (Non-domestic),SKYLINE WEST,1,,,1,2,,,1,,1,,
Assault (Non-domestic),SKYVIEW RANCH,,2,,1,1,2,3,1,4,1,2,1
Assault (Non-domestic),SOMERSET,,,,,,1,1,1,1,1,1,
Assault (Non-domestic),SOUTH AIRWAYS,1,,,2,,,,1,2,,,
Assault (Non-domestic),SOUTH CALGARY,2,2,1,2,,,2,2,,,1,
Assault (Non-domestic),SOUTH FOOTHILLS,,,1,1,,,1,,1,,,
Assault (Non-domestic),SOUTHVIEW,2,1,2,2,2,3,4,2,4,3,1,1
Assault (Non-domestic),SOUTHWOOD,4,6,9,6,4,3,1,2,4,3,2,6
Assault (Non-domestic),SPRINGBANK HILL,1,,1,1,,,,1,1,,2,
Assault (Non-domestic),SPRUCE CLIFF,1,1,1,,1,2,1,,,2,,
Assault (Non-domestic),ST. ANDREWS HEIGHTS,4,2,4,3,4,6,4,7,4,3,4,3
Assault (Non-domestic),STARFIELD,,,,,,,,,,,,
Assault (Non-domestic),STONEGATE LANDING,,,,,1,,1,,,,,
Assault (Non-domestic),STONEY 1,1,,,,1,,,,1,1,,1
Assault (Non-domestic),STONEY 2,,,,1,1,1,3,,1,,2,
Assault (Non-domestic),STONEY 3,,1,,,,1,2,1,,1,,1
Assault (Non-domestic),STONEY 4,,,,,1,,,,,,,
Assault (Non-domestic),STRATHCONA PARK,,,,,,,,,,,,
Assault (Non-domestic),SUNALTA,4,1,3,9,3,2,,1,6,2,3,2
Assault (Non-domestic),SUNDANCE,2,,,,,,,,,,,1
Assault (Non-domestic),SUNNYSIDE,,,2,3,,2,4,3,,1,4,
Assault (Non-domestic),SUNRIDGE,6,8,9,9,10,9,11,5,9,9,10,2
Assault (Non-domestic),SYMONS VALLEY RANCH,,,,,,,,,,,,
Assault (Non-domestic),TARADALE,1,3,,2,3,3,1,2,3,2,1,1
Assault (Non-domestic),TEMPLE,2,3,2,1,4,3,5,3,4,3,2,1
Assault (Non-domestic),THORNCLIFFE,3,3,,2,4,4,2,1,2,4,4,3
Assault (Non-domestic),TUSCANY,1,2,1,2,2,,1,1,2,2,1,2
Assault (Non-domestic),TUXEDO PARK,,3,1,3,,5,6,4,7,2,4,6
Assault (Non-domestic),TWINHILLS,1,,,,,,,,,,,
Assault (Non-domestic),UNIVERSITY DISTRICT,,,2,,3,,1,1,3,,2,1
Assault (Non-domestic),UNIVERSITY HEIGHTS,,,,,,,,,1,1,,1
Assault (Non-domestic),UNIVERSITY OF CALGARY,,,1,,,1,,,,,,1
Assault (Non-domestic),UPPER MOUNT ROYAL,1,,,,,,,,,,,
Assault (Non-domestic),VALLEY RIDGE,,,,,,,1,,,,,
Assault (Non-domestic),VALLEYFIELD,1,,,,1,,,1,2,1,,1
Assault (Non-domestic),VARSITY,1,3,2,4,1,6,2,,2,3,2,2
Assault (Non-domestic),VISTA HEIGHTS,1,2,4,,1,2,1,4,,3,1,
Assault (Non-domestic),WALDEN,,1,,,,1,1,2,,3,1,
Assault (Non-domestic),WEST HILLHURST,,,1,1,,2,2,,1,1,,
Assault (Non-domestic),WEST SPRINGS,,,2,,2,1,,1,1,1,,
Assault (Non-domestic),WESTGATE,,1,1,2,1,,,1,,2,,
Assault (Non-domestic),WESTWINDS,4,6,4,1,3,3,4,5,5,4,4,2
Assault (Non-domestic),WHITEHORN,4,6,6,3,3,4,3,2,4,2,5,
Assault (Non-domestic),WILDWOOD,,,,,,,,,,,,2
Assault (Non-domestic),WILLOW PARK,3,1,1,3,1,1,3,1,2,1,1,2
Assault (Non-domestic),WINDSOR PARK,1,1,1,,1,,2,2,2,3,,3
Assault (Non-domestic),WINSTON HEIGHTS/MOUNTVIEW,,1,1,1,3,3,1,,1,,3,5
Assault (Non-domestic),WOLF WILLOW,,,,,,,,,2,,,
Assault (Non-domestic),WOODBINE,1,,,2,,,1,1,,,,
Assault (Non-domestic),WOODLANDS,,1,1,2,5,3,3,1,1,1,1,2
Assault (Non-domestic),YORKVILLE,,,,,,,,,,,,
Assault (Non-domestic),01B,,,,,,,,,,,,
Assault (Non-domestic),01F,,,,,,,,,,,,
Assault (Non-domestic),01I,,,,,,,,,,,,
Assault (Non-domestic),01K,,,,,,,,,1,,,1
Assault (Non-domestic),02B,,,,,,,,,,,,
Assault (Non-domestic),02C,,,,,,,,,,,,
Assault (Non-domestic),02E,6,6,8,8,6,1,6,2,1,2,3,6
Assault (Non-domestic),02F,,,,,,,,,,,,
Assault (Non-domestic),02K,,,,,,,,,,,,
Assault (Non-domestic),02L,,,,,,,,,,,,
Assault (Non-domestic),03W,,,,,,,,,,,,
Assault (Non-domestic),05D,1,,,,,,,1,,1,,
Assault (Non-domestic),05F,,,,,,,,,,,,
Assault (Non-domestic),05G,,,,,,,,,,,,
Assault (Non-domestic),06A,,,,,,,,,1,,,
Assault (Non-domestic),06B,,,,,,,,,,,,
Assault (Non-domestic),06C,,,,,,,,,,,,
Assault (Non-domestic),09D,,,,,,,,,,,,
Assault (Non-domestic),09H,,1,,,,,,,,,,
Assault (Non-domestic),09K,,,,,,,,,,,,
Assault (Non-domestic),09O,,,,,,,1,,,,,
Assault (Non-domestic),09P,,,,,,,,,,,,
Assault (Non-domestic),09Q,,,,,2,,,,,,1,
Assault (Non-domestic),10D,,,,,,,,,,,,
Assault (Non-domestic),10E,,,,,,,,1,,,,
Assault (Non-domestic),12A,,,1,,,,,,,1,,
Assault (Non-domestic),12B,,,,,,,,,,,,
Assault (Non-domestic),12C,,,,,,,,,,,,
Assault (Non-domestic),12I,,,,,,,,,,,,
Assault (Non-domestic),12J,,,1,,,,,,,,,
Assault (Non-domestic),12K,,,,,,,,,,,,
Assault (Non-domestic),12L,,,,,,,,,,,,
Assault (Non-domestic),13A,,,,,,,,,,,,
Assault (Non-domestic),13C,,,,,,,,,,,,
Assault (Non-domestic),13E,,,,,,,,,,,,
Assault (Non-domestic),13F,,,,,,,,,,,,
Assault (Non-domestic),13G,,,,,,,,,,,,
Assault (Non-domestic),13H,,,,,,,,,,,,
Assault (Non-domestic),13M,,,,,,,,,,,1,
Assault (Non-domestic),SCARBORO/ SUNALTA WEST,,,,,,,,,,,,
Assault (Non-domestic),01H CRESTMONT,,,,,,,,,,,,
Assault (Non-domestic),01H,,,,,,,,,,,,
Assault (Non-domestic),LEWISBURG,,,,,,,,,,,,
Assault (Non-domestic),13J,,,,,,,,,,,,
Assault (Non-domestic),CORNERSTONE ,,,,,2,,1,,,1,1,
,,,,,,,,,,,,,
Commercial Robbery,ABBEYDALE,,,,,,,,,2,,,
Commercial Robbery,ACADIA,2,,,,1,1,,,,,,
Commercial Robbery,ALBERT PARK/RADISSON HEIGHTS,,,1,,,2,,,1,,,
Commercial Robbery,ALPINE PARK,,,,,,,,,,,,
Commercial Robbery,ALTADORE,,,,,,,,,,,,1
Commercial Robbery,ALYTH/BONNYBROOK,,,,,,,,,,,,
Commercial Robbery,AMBLETON,,,,,,,,,,,,
Commercial Robbery,APPLEWOOD PARK,,,,,,,,1,,,,
Commercial Robbery,ARBOUR LAKE,1,,,,,3,,,,,,
Commercial Robbery,ASPEN WOODS,,,,,,,,,,,,
Commercial Robbery,AUBURN BAY,,,,,,,,,,,,
Commercial Robbery,AURORA BUSINESS PARK,,,,,,,,,,1,1,
Commercial Robbery,BANFF TRAIL,1,1,,,,,,,,,,2
Commercial Robbery,BANKVIEW,,1,,,,,,,,,,
Commercial Robbery,BAYVIEW,,,,,,,,,,,,
Commercial Robbery,BEDDINGTON HEIGHTS,,,,,,1,,,,,,
Commercial Robbery,BEL-AIRE,,,,,,,,,,,,
Commercial Robbery,BELMONT,,,,,,,,,,,,
Commercial Robbery,BELTLINE,2,,4,3,2,1,2,3,3,4,1,4
Commercial Robbery,BELVEDERE,,,,,,,,,,,,1
Commercial Robbery,BONAVISTA DOWNS,,,,,,,,,,,,
Commercial Robbery,BOWNESS,,1,,,,,,1,,,,
Commercial Robbery,BRAESIDE,,,,,,,,,,,,
Commercial Robbery,BRENTWOOD,,2,,,2,,2,1,,1,1,1
Commercial Robbery,BRIDGELAND/RIVERSIDE,2,,,1,1,,,,,1,,
Commercial Robbery,BRIDLEWOOD,,,,,,,,,,,,1
Commercial Robbery,BRITANNIA,,,,,,,,,,,,
Commercial Robbery,BURNS INDUSTRIAL,,,,,,,,,,,,
